gene	baseMean	log2FC	lfcSE	stat	pvalue	padj	contrast
ENSG00000007376.8	82.54178712223344	-0.06540618951156453	0.4948516468018801	-0.13217332898510226	0.8948471964028988	0.9438230436001269	C4
ENSG00000007384.15	52.950240772364296	0.010090124371560278	0.49775045097369214	0.020271451993307342	0.9838268291153478	0.9918226875832784	C4
ENSG00000007392.17	108.68486734761514	-0.2888606659761797	0.5201077242238749	-0.5553862258193317	0.5786305120176083	0.728348949266588	C4
ENSG00000007402.12	0.7780698078983468	3.8668103741485584	4.162091602620053	0.9290546060337516	0.35286078787737807		C4
ENSG00000007516.14	0.06767102192709859	-0.52058475176368	4.41568650609287	-0.11789440918085213	0.9061513231822529		C4
ENSG00000007520.4	281.64685963197223	-1.4096494723017667	0.42349865967876044	-3.328580717046516	0.000872897066773817	0.004066860812550203	C4
ENSG00000007541.17	48.90473654488173	-0.34181141862042225	0.841858112024182	-0.40602022328746507	0.684727741181852	0.8084331420810252	C4
ENSG00000007545.16	122.03540809522056	-0.2421876417850669	0.4218744562209747	-0.5740751501157747	0.5659169483949897	0.717795132573866	C4
ENSG00000007866.22	136.09168337648646	-0.7197705922264028	0.34422358822829097	-2.0909972960628345	0.036528306367006665	0.09648296129094566	C4
ENSG00000007908.16	0.0						C4
ENSG00000007923.17	819.1325438710063	-1.1301866890716552	0.1866148709843021	-6.056252018451014	1.3932965980316893e-09	2.00432819196276e-08	C4
ENSG00000007933.13	0.0						C4
ENSG00000007944.15	34.86372921854346	-1.2720628212790344	0.8480738062227224	-1.4999435331515985	0.13362903005805668	0.2628988527160631	C4
ENSG00000007952.18	0.0						C4
ENSG00000007968.7	116.61196178578184	-1.0817744138737557	0.40050511139401723	-2.701025238126125	0.006912609277855798	0.024252943938864485	C4
ENSG00000008018.9	858.8701700477635	-0.027436636605741093	0.1523310754794618	-0.18011188143577614	0.8570647351109674	0.92156542748236	C4
ENSG00000008056.14	3.8002230203669995	3.513778471340537	3.0587379382761446	1.1487674139618662	0.25065189945814137	0.4147526320288964	C4
ENSG00000008083.14	416.4520675306395	-0.5509149674368711	0.21526688574404274	-2.5592183652989786	0.010490782131670033	0.03441224740437469	C4
ENSG00000008086.13	98.1787759874182	-0.03989178481856251	0.4772886460349544	-0.08357999954526683	0.9333903693373763	0.963463019706888	C4
ENSG00000008118.10	0.13881142747877337	-0.5205873025369459	4.415684869665516	-0.11789503053382067	0.9061508308477484		C4
ENSG00000008128.23	114.99872352838206	-1.5465914191872991	0.627600331595095	-2.464293502293915	0.013728364333770718	0.04323346065792725	C4
ENSG00000008130.15	536.5692859147161	-0.620298914997396	0.1921267622773294	-3.2285919340170453	0.001244012662445766	0.0055315055709469875	C4
ENSG00000008196.13	0.050679408538572536	-0.5205834332300735	4.415687351988638	-0.11789408799416579	0.9061515776773705		C4
ENSG00000008197.5	0.0						C4
ENSG00000008226.20	0.7300303094701667	-1.001491011397047	4.35373782183174	-0.23003016083676162	0.8180683331028038		C4
ENSG00000008256.16	204.26506856967382	-0.04464940015136811	0.30274687101448083	-0.14748096322763463	0.8827524045633612	0.9374253497915178	C4
ENSG00000008277.15	98.83424739422887	1.5467897529758778	0.531605246985487	2.9096585516171665	0.0036182381004958224	0.013924891928756716	C4
ENSG00000008282.10	468.62087113955283	1.4506203310201153	0.2180758460508139	6.6519073858464175	2.893187485277719e-11	5.210653339946422e-10	C4
ENSG00000008283.16	100.34308242967288	0.7708435462013044	0.48543645855107737	1.587939126991214	0.11230010475239433	0.23142057443861885	C4
ENSG00000008294.22	1200.10092031328	-0.23254926422146852	0.13635830391041912	-1.7054279611327687	0.0881146371746411	0.19197785115168803	C4
ENSG00000008300.17	194.87276873767755	-0.425147090979188	0.30953477192195983	-1.3735034947426732	0.16959587553439293	0.3136987310200853	C4
ENSG00000008311.16	91.29944000871019	1.612209426319582	0.49196190444684856	3.277102173454499	0.0010487840994767574	0.004763511627191384	C4
ENSG00000008323.16	0.47425236594633535	3.3225802361113486	4.16814026385073	0.7971373384257918	0.4253712732798727		C4
ENSG00000008324.12	61.03284722114542	0.7620731460223158	0.8131830205906717	0.9371483746288366	0.34868224097498335	0.5225360120760955	C4
ENSG00000008382.16	70.54506418868691	-1.4686550624272348	0.7343987406663328	-1.999806074142636	0.0455212084465964	0.1147160130753071	C4
ENSG00000008394.13	519.6504530727537	1.0940792656871319	0.20228417111343397	5.408625201195847	6.351038179424968e-08	7.20336721013341e-07	C4
ENSG00000008405.12	58.73367626276487	-0.3617247433697134	0.6041348486226454	-0.5987483493038054	0.5493407101967311	0.7059509356310998	C4
ENSG00000008438.5	0.0						C4
ENSG00000008441.19	1471.6112733356326	-0.40941547243464665	0.13685828064634098	-2.991528685740454	0.0027758445739558364	0.011058684241499063	C4
ENSG00000008513.16	223.44793950733464	0.41354041253545787	0.2755646071480166	1.5007022012566693	0.13343260347724034	0.2627000320387387	C4
ENSG00000008516.18	1.0704560586055136	-2.7335510859483287	2.9687074156192352	-0.9207883106183922	0.35716095908617684		C4
ENSG00000008517.19	2.5857594256046026	-4.1961021738536175	3.5528308209928183	-1.181058819085858	0.23757935782204442	0.39927987770118417	C4
ENSG00000008710.20	392.698258754053	-2.162938865960712	0.20783087491979743	-10.407206661644459	2.298676313101887e-25	2.065341404671377e-23	C4
ENSG00000008735.14	1.2821680136679212	-3.3035110408769093	3.162558561529231	-1.0445691286359997	0.29622215388537987		C4
ENSG00000008838.21	481.02101605500036	-0.7204587089741052	0.23852629985066953	-3.020458160903648	0.00252392575927906	0.01018627302044796	C4
ENSG00000008853.18	375.1410280339571	-0.18152683236039807	0.22845091067891166	-0.7945988563623391	0.4268468838120585	0.5990382576221062	C4
ENSG00000008869.12	278.8514031540207	0.9772835696506458	0.33890150204418407	2.88368025445704	0.003930576240691758	0.014955159138643375	C4
ENSG00000008952.17	1044.5477075198291	-0.7314520857820549	0.15473353632876882	-4.727172293328241	2.276680777439019e-06	1.932235194910382e-05	C4
