signature	sig_type	direction	ensg	symbol	det_SS2	det_10X	det_Couturier
C5_STABLE_UP	C5 stable	up	ENSG00000197956.10	S100A6	1	1	1
C5_STABLE_UP	C5 stable	up	ENSG00000162772.17	ATF3	1	1	1
C5_STABLE_UP	C5 stable	up	ENSG00000102580.15	DNAJC3	1	1	1
C5_STABLE_DOWN	C5 stable	down	ENSG00000118197.14	DDX59	1	1	1
C5_STABLE_DOWN	C5 stable	down	ENSG00000167695.15	TLCD3A	0	0	0
C5_STABLE_UP	C5 stable	up	ENSG00000158470.5	B4GALT5	1	1	1
C5_STABLE_UP	C5 stable	up	ENSG00000173846.13	PLK3	1	1	1
C5_STABLE_DOWN	C5 stable	down	ENSG00000151640.13	DPYSL4	1	1	1
C5_STABLE_UP	C5 stable	up	ENSG00000167566.17	NCKAP5L	1	1	1
C5_STABLE_DOWN	C5 stable	down	ENSG00000196517.13	SLC6A9	1	1	1
C5_STABLE_UP	C5 stable	up	ENSG00000102908.23	NFAT5	1	1	1
C5_STABLE_UP	C5 stable	up	ENSG00000269858.6	EGLN2	1	1	1
C5_STABLE_DOWN	C5 stable	down	ENSG00000054965.11	FAM168A	1	1	1
C5_STABLE_UP	C5 stable	up	ENSG00000107815.10	TWNK	0	0	0
C5_STABLE_DOWN	C5 stable	down	ENSG00000163755.9	HPS3	1	1	1
C5_STABLE_DOWN	C5 stable	down	ENSG00000039560.14	RAI14	1	1	1
C5_STABLE_DOWN	C5 stable	down	ENSG00000151725.12	CENPU	0	1	1
C5_STABLE_DOWN	C5 stable	down	ENSG00000218510.9	LINC00339	1	1	1
C5_STABLE_DOWN	C5 stable	down	ENSG00000116212.15	LRRC42	1	1	1
C5_STABLE_UP	C5 stable	up	ENSG00000186577.14	SMIM29	0	0	0
C5_STABLE_UP	C5 stable	up	ENSG00000151461.20	UPF2	1	1	1
C5_STABLE_UP	C5 stable	up	ENSG00000188167.9	TMPPE	1	1	1
C5_STABLE_UP	C5 stable	up	ENSG00000132002.9	DNAJB1	1	1	1
C5_STABLE_DOWN	C5 stable	down	ENSG00000156510.13	HKDC1	1	1	1
C5_STABLE_UP	C5 stable	up	ENSG00000213246.7	SUPT4H1	1	1	1
C5_STABLE_DOWN	C5 stable	down	ENSG00000291105.1		0	0	0
C5_STABLE_UP	C5 stable	up	ENSG00000040633.13	PHF23	1	1	1
C5_STABLE_UP	C5 stable	up	ENSG00000138398.17	PPIG	1	1	1
C5_STABLE_DOWN	C5 stable	down	ENSG00000125257.16	ABCC4	1	1	1
C5_STABLE_UP	C5 stable	up	ENSG00000103342.13	GSPT1	1	1	1
